// Format:									
//									
// 		Note: The order of the tables MUST match the definition in WLAN driver.							
//									
//		Power Limit Table Parameter Definition							
//									
//		@@Ver=3.0							
//									
//	(1)	Version 3.0 support to add regulations in the Power Limit Table from column 4.
//		Customers can add new regulations by using DomainCode or CountryConde(ISO 3166-2).							
//									
//	(2)	Syntax:
//			1. @@DomainCode=xx,  Regulation=xx
//			2. @@CountryCode=xx,  Regulation=xx
//									
//		ex.							
//			   @@DomainCode=0x2B, Regulation=IC	//RTK define domain code 0x2B for IC in colume 4
//			   @@DomainCode=0x28, Regulation=KCC	//RTK define domain code 0x28 for KCC in colume 5
//			   @@DomainCode=0x62, Regulation=C6	//Customer define domain code 0x62 for C6 in colume 6
//			   @@CountryCode=US, Regulation=C6	//Customer define country code US for C6 in colume 6
//			   @@CountryCode=GB, Regulation=C7	//Customer define country code GB for C7 in colume 7
//									
//		One DomainCode MUST has only one Regulation in Table.							
//		One CountyCode MUST has only one Regulation in Table.							
//									
//	(3)	Error Syntax:
//									
//			   @@DomainCode=0x2D, Regulation=C6
//			   @@DomainCode=0x2D, Regulation=C7
//			   @@CountryCode=US, Regulation=C8
//			   @@CountryCode=US, Regulation=C9
//									
//									
//	(4)	If want to disable Tx power limit for one DomainCode or CountryConde, you can write "NONE" in Regulation.
//									
//		Syntax:							
//			1. @@DomainCode=xx,  Regulation=NONE
//			2. @@CountryCode=xx,  Regulation=NONE
//									
//		ex.							
//			   @@DomainCode=0x2D, Regulation=NONE	//The domain code 0x2D will be disable in the Power Limit Table.
//			   @@CountryCode=US, Regulation=NONE	//The country code US will be disable in the Power Limit Table.
//									
//									
//									
//									
//		Band:			6G				
//		Bandwidth:		20/40/80/160 MHZ					
//		RF Path:		1/2 Transmit RF					
//		Rate Section:	OFDM/HE						
//		Regulation: FCC/ETSI/MKK/IC/KCC/ACMA/CHILE/UKRAINE/MEXICO/CN/QATAR							
//									
//		Description:							
//		1. IF in 1T test							
//		2. power is real dBm.							
//		3. // is for comment.							
//									
// 		NA is non-release channle.							
//									
//		Limit Table Version : V16							
@@Ver=3.0									
@@CountryCode=CL, Regulation=CHILE
@@CountryCode=UA, Regulation=UKRAINE
//									
//Table 1: ===========================================									
//									
##	6G, 20M, 1T, OFDM, NA//
##	START								
##	#9#								
##	FCC	ETSI	KCC	IC	ACMA	UK	MKK	CHILE	QATAR
PShape	0	0	0	0	0	0	0	0	0
// 6G UNII-5									
CH01	6	16.5	6	6	16.5	16.5	16.5	6	16.5
CH05	5.5	16.5	6	5.5	16.5	16.5	16.5	5.5	16.5
CH09	5.5	16.5	6	5.5	16.5	16.5	16.5	5.5	16.5
CH13	5.5	16.5	6	5.5	16.5	16.5	16.5	5.5	16.5
CH17	5.5	16.5	6	5.5	16.5	16.5	16.5	5.5	16.5
CH21	5.5	16.5	6	5.5	16.5	16.5	16.5	5.5	16.5
CH25	5.5	16.5	6	5.5	16.5	16.5	16.5	5.5	16.5
CH29	5.5	16.5	6	5.5	16.5	16.5	16.5	5.5	16.5
CH33	5.5	16.5	6	5.5	16.5	16.5	16.5	5.5	16.5
CH37	5.5	16.5	6	5.5	16.5	16.5	16.5	5.5	16.5
CH41	5.5	16.5	6	5.5	16.5	16.5	16.5	5.5	16.5
CH45	5.5	16.5	6	5.5	16.5	16.5	16.5	5.5	16.5
CH49	5.5	16.5	6	5.5	16.5	16.5	16.5	5.5	16.5
CH53	5.5	16.5	6	5.5	16.5	16.5	16.5	5.5	16.5
CH57	5.5	16.5	6	5.5	16.5	16.5	16.5	5.5	16.5
CH61	5.5	16.5	6	5.5	16.5	16.5	16.5	5.5	16.5
CH65	5.5	16.5	6	5.5	16.5	16.5	16.5	5.5	16.5
CH69	5.5	16.5	6	5.5	16.5	16.5	16.5	5.5	16.5
CH73	5.5	16.5	6	5.5	16.5	16.5	16.5	5.5	16.5
CH77	5.5	16.5	6	5.5	16.5	16.5	16.5	5.5	16.5
CH81	5.5	16.5	6	5.5	16.5	16.5	16.5	5.5	16.5
CH85	5.5	16.5	6	5.5	16.5	16.5	16.5	5.5	16.5
CH89	5.5	16.5	6	5.5	16.5	16.5	16.5	5.5	16.5
CH93	5.5	16.5	6	5.5	16.5	16.5	11	5.5	16.5
// 6G UNII-6									
CH97	5.5	NA	6	5.5	NA	NA	NA	NA	NA
CH101	5.5	NA	6	5.5	NA	NA	NA	NA	NA
CH105	6	NA	6	6	NA	NA	NA	NA	NA
CH109	5.5	NA	6	5.5	NA	NA	NA	NA	NA
CH113	5.5	NA	6	5.5	NA	NA	NA	NA	NA
// 6G UNII-7 & 8									
CH117	5.5	NA	6.5	5.5	NA	NA	NA	NA	NA
CH121	5.5	NA	6.5	5.5	NA	NA	NA	NA	NA
CH125	5.5	NA	6.5	5.5	NA	NA	NA	NA	NA
CH129	5.5	NA	6.5	5.5	NA	NA	NA	NA	NA
CH133	5.5	NA	6.5	5.5	NA	NA	NA	NA	NA
CH137	5.5	NA	6.5	5.5	NA	NA	NA	NA	NA
CH141	5.5	NA	6.5	5.5	NA	NA	NA	NA	NA
CH145	5.5	NA	6.5	5.5	NA	NA	NA	NA	NA
